"","web-scraper-order","web-scraper-start-url","link","link-href","Caffeine","Flavor","Description","Ingredients","item_ID","Steeping","Image-src","Price","Name","Type","ID","Category","V4","Origin","Availability","Time","Color","Link","Link-href","Benefits","Pagination","pagination"
"1140","1636397475-974","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Elderflowers and leaves are used traditionally in alternative medicine in Germany. They have antiviral and antioxidant properties, which is why they are used to fight off colds and flu. Elderflower tea typically contains some of the leaves as well. Despite promising findings in studies, the benefits of drinking elderflower have not been confirmed.  A mild but tasty tisane with slightly sweet notes.  Great with a bit of honey.","Ingredients: Elderflowers and leaves, cut and sifted",NA,NA,"https://theteahaus.com/162-home_default/elderflower.jpg","$3.75","Elderflower",NA,NA,NA,NA,NA,NA,"Recommended: mornings or evenings",NA,"Elderflower","https://theteahaus.com/herbal-decaf/elderflower.html",NA,"https://theteahaus.com/all-teas/?page=22",NA
"1141","1636397527-983","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"From China’s Zhejiang Province, this jade coloured green tea produces a mellow flavour and delicious aroma. It is also known as “Lung Ching” or “Longjing”. The infusion is yellow and has a slightly lingering sweet aftertaste. According to Lung Jing, Dragonwell is one of China’s “10 most famous teas”.","Ingredients: Premium Green Tea from China, Certified Organic",NA,NA,"https://theteahaus.com/98-home_default/dragonwell-organic.jpg","$10.25","Dragonwell Organic",NA,NA,NA,NA,NA,NA,"Recommended Drinking Time: Dragonwell Organic Tea is great anytime of the day after meals!",NA,"Dragonwell Organic","https://theteahaus.com/green-tea/dragonwell-organic.html",NA,"https://theteahaus.com/all-teas/?page=23",NA
"1142","1636397650-1001","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"As smooth and delicious as a chocolate mint truffle – without the sugar! This black tea blend is cool and creamy. Perfect as an after dinner treat, or an afternoon pick-me-up. Try with or without milk.","Ingredients: Ceylon orange pekoe, blackberry and peppermint leaves, natural flavours",NA,NA,"https://theteahaus.com/18-home_default/chocolate-mint.jpg","$5.25","Chocolate Mint",NA,NA,NA,NA,NA,NA,"Recommended Drinking Time: Chocolate Mint Tea is a great black tea for any time of the day.",NA,"Chocolate Mint","https://theteahaus.com/black-teas/chocolate-mint.html",NA,"https://theteahaus.com/all-teas/?page=25",NA
"1143","1636396243-832","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Yorkshire Tea is a black tea blend produced by Taylors of Harrogate, one of the few remaining family tea and coffee merchants in the United Kingdom. A lightly astringent cup becomes golden bright with milk. This tea is a unique blend of Indian, Kenyan and Chinese teas. Few teas have such rich fullness and flavour. Strong infusion that takes milk very well.","Ingredients: Premium black teas from India, Kenya and China",NA,NA,"https://theteahaus.com/89-home_default/yorkshire-gold.jpg","$4.75","Yorkshire Gold",NA,NA,NA,NA,NA,NA,"Recommended Drinking Time: Yorkshire Gold is a great black tea for any time of day.",NA,"Yorkshire Gold","https://theteahaus.com/black-teas/yorkshire-gold.html",NA,"https://theteahaus.com/all-teas/?page=6",NA
"1144","1636396179-822","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"A premium Oolong from China and the successor of our Milk Oolong. This Oolong has a smooth, creamy flavour almost vanilla like. Remember to make multiple infusions as oolongs tend to improve in flavour and body in latter infusions.","Ingredients: Premium Oolong from China, natural flavour, lactose free",NA,NA,"https://theteahaus.com/1051-home_default/creamy-oolong.jpg","$10.00","Creamy Oolong",NA,NA,NA,NA,NA,NA,"Recommended: any time of day",NA,"Creamy Oolong","https://theteahaus.com/oolong/creamy-oolong.html",NA,"https://theteahaus.com/all-teas/?page=5",NA
"1145","1636397178-923","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Sencha green tea combined with natural passion fruit flavour, cornflowers, English chamomile, sunflowers and rose petals. This gentle blend has a pleasantly sweet tropical aroma. The Sencha green tea compliments the passion fruit aroma of this blend perfectly.","Ingredients: Sencha style green tea, cornflowers, English chamomile, sunflowers, rose petals, and passion fruit flavour",NA,NA,"null","$4.75","Island Breeze",NA,NA,NA,NA,NA,NA,"Recommended: any time of the day, after meals",NA,"Island Breeze","https://theteahaus.com/green-tea/island-breeze.html",NA,"https://theteahaus.com/all-teas/?page=17",NA
"1146","1636396652-899","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"This second flush darjeeling has a superb fragrance, very complex bouquet and classic muscatel characteristics. The liquor is golden in colour with a pronounced rounded character. Darjeeling is often referred to as """"Champagne of teas"""". The estate is located in Darjeeling and has spectacular views of the snow-capped Himalayan peaks.","Ingredients: 2nd flush Darjeeling from India",NA,NA,"null","$7.25","Darjeeling Margaret's Hope",NA,NA,NA,NA,NA,NA,"Recommended Drinking Time: Margaret's Hope Darjeeling is a great black tea for any time of day.",NA,"Darjeeling Margaret's Hope","https://theteahaus.com/black-teas/margaret-s-hope-darjeeling.html",NA,"https://theteahaus.com/all-teas/?page=14",NA
"1147","1636396388-856","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"This fragrant and rich Sencha comes from the Shizuoka prefecture in Japan. It has a distinct fresh notes and makes a bright green infusion.","Ingredients: Sencha green tea from Japan",NA,NA,"null","$7.50","Shizuoka Sencha",NA,NA,NA,NA,NA,NA,"Recommended: any time of day",NA,"Shizuoka Sencha","https://theteahaus.com/green-tea/sencha-fukujyu.html",NA,"https://theteahaus.com/all-teas/?page=9",NA
"1148","1636396285-839","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Our Turkish Apple tea is a Caffeine-free blend of Apple pieces, apple peel, natural lemon flavour. This apple tea does not contain additional sugar or crystals, which you find in other apple tea creations.","Ingredients: Apple pieces, calendula petals, and flavour",NA,NA,"https://theteahaus.com/203-home_default/turkish-apple-tea.jpg","$4.75","Turkish Apple Tea",NA,NA,NA,NA,NA,NA,"Recommended: any time of day, great iced!",NA,"Turkish Apple Tea","https://theteahaus.com/herbal-decaf/turkish-apple-tea.html",NA,"https://theteahaus.com/all-teas/?page=7",NA
"1149","1636396074-804","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Enjoy a selection of our best flowering teas. Also known as blooming teas, the balls are indindividually packaged and come in newport style tin.","Selection of four flowering teas such as Volcano Flower Burst, Dragon 4 Flowers, and Lovers Flowering Tea.",NA,NA,"https://theteahaus.com/1162-home_default/set-of-blooming-teas.jpg","$10.00","Set of 3 Flowering Teas",NA,NA,NA,NA,NA,NA,"Substitution of a type may occur depending on availability.",NA,"Set of 3 Flowering Teas","https://theteahaus.com/green-tea/set-of-blooming-teas.html",NA,"https://theteahaus.com/all-teas/?page=3",NA
"1150","1636396042-798","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Apple Spice is a warming black tea blend complimented by a natural apple cinnamon flavour, apple pieces, orange peel, and spices.","Ingredients: Ceylon Orange Pekoe, apple pieces, cinnamon, cloves, and natural flavour",NA,NA,"null","$5.00","Apple Spice",NA,NA,NA,NA,NA,NA,"Recommended Drinking Time: Apple Spice is a great black tea for any time of day.",NA,"Apple Spice","https://theteahaus.com/black-teas/apple-spice.html",NA,"https://theteahaus.com/all-teas/?page=3",NA
"1151","1636396291-840","https://theteahaus.com/all-teas/",NA,NA,NA,NA,"Our Valentino was originally a creation for Valentine's day. Since then, it became so popular that we made it part of our permanent tea collection. It is an exotic blend of quince ginger and different fruits.","Ingredients: Ceylon orange pekoe, apple cubes, lemon peel, ginger pieces, calendula petals and safflower, and natural quince ginger flavour",NA,NA,"https://theteahaus.com/86-home_default/valentino.jpg","$4.75","Valentino",NA,NA,NA,NA,NA,NA,"Recommended Drinking Time: Valentino is a great black tea for any time of day.",NA,"Valentino","https://theteahaus.com/black-teas/valentino.html",NA,"https://theteahaus.com/all-teas/?page=7",NA
